Majo-ish,Meaning,Origination
Conjuctions,Japanese Conjunction,
Iz'u,is,English 'is'
oF,of,English 'of'
N'o,of; has a wider meaning than'oF',Japanese kana'の'in Romanized pronounciation
S~ond',Then,
Owk,Or; Maybe; Else,
aSte,As,English 'as'+Japanese 'て(te)'
SiVa,"However, but",
BuggAh,But,"However(Negative expression), English 'but'+Japanese 'が(ga)'"
KaRause,Because,Japanese 'から(kara)'+English 'because'
aZaGara,While...while...; despite...still...,Japanese 'ながら(nagara)'
itsWA,That's all,
Ca-nay,Cannot do,English 'can'+Japanese 'ない(nai)'
Ca-nan,Can do,English 'can'
ShouBeK,Should do,English 'should'+Japanese 'べき(beki)'
meKaMo,Maybe,English 'maybe'+Japanese 'かも(kamo)'
DiGhT,"Expressing inference, rhetorical question, speculation, or assumption; it will definitely...",English 'right'+Japanese 'だろう(darou)'
Ada,That,
Ado,This,
Eda,There,
Edo,Here,
WAirTell,First person me,
rAwTell,Second person you,
ObTell,Third person he/she/it,
Eleden,Whoever,
Lai Nei,Just like,
Bah,Indicating emphasis on the word preceding the given word,
oRei,Order(Demand),English 'order'+Japanese '命令(meirei)'
LaVI,The devils of the law,English 'law'+'Devil'
hung gement,Verdict,Japanese '判決(hanketsu)'+English 'judgement'
pris'jeen,Prisoner,English 'prison'+Japanese '囚人(shūjin)'
LowhEll,Jail,Japanese '牢獄(rōgoku)'+English 'hell'
Guil-me,Guilt,English 'guilty'+Japanese '罪(tsumi)'
senty-hungment,"Judge, trial, hearing",Variation of'判決'
sent-ky,"Referee, trial, analysis, judgment, differentiation",English 'sentence'+Japanese '裁き(sabaki)'
horMELT,Gavel,English 'gavel'?
Coa Tain,Court,English 'court'+Japanese '法廷(hōtei)'
KeI·tion,Execution,Japanese '処刑(shokei)'+English 'execution'
DArime,Convict,Japanese '断罪(danzai)'+English 'crime'
Syu Tain,Recess,Pronounces like Chinese'休庭'
cOnzAI,Guilty,English 'convict'+Japanese '断罪(danzai)'
shi-des,Death,Japanese '死(shi)'+English 'death'
MEif,Life,Japanese '命(mei)'+English 'life'
TOK,Male,Japanese '男(otoko)'
JIO,Female,Japanese '女(jo)'
litt JIO,Girl,English 'little'+'JIO'
ievil JIO,Witch,English 'evil'+'JIO'
Divil JIO,The Great Witch,English 'devil'或Japanese '大(dai)'+'evil JIO'
eXi',Exist,
ChiDd,Blood,Japanese '血(chi)'+English 'blood'
muRm,Murder,
muRdon,Murderer,Variation of'murder'
muRmon,Serial killer,English 'murder'+'demon'
En-NOte,"Fate, end; the witch's remains",English 'end'+Japanese '成れの果て(nare no hate)'
hison',Humans,Japanese '人(hito)'+English 'person'
ieyWOO,Right now,Expresses time
To-ya-ya,Tonight,English 'tonight'+Japanese '今夜(konya)'
Toim,Time,Japanese '時(toki)'+English 'time'
Jus·tom,In a sudden,English 'just'+'Toim'
Kast,Past,Japanese '過去(kako)'+English 'past'
zanCrue,Cruel,Japanese '残虐(zangyaku)'+English 'cruel'
merc·lee,Mercy,
dEs·lee,Despair,
PyusenS'e,Pure,
DowGuil,Doubt,English 'doubt'+Japanese '疑惑(giwaku)'
Say mAl,Normal,Japanese '正常(seijō)'+English 'normal'
anxAn,Anxious,English 'anxious'+Japanese '不安(fuan)'
showroof,"Proof, prove, evidence",Japanese '証明(shōmei)'+English 'proof'
Sar-gedy,Tragedy,Japanese '惨劇(sangeki)'+English 'tragedy'
SaiVI,Catastrophe,Japanese '災(sai)'+'VI(惡魔)'
Jiell,Hell,Japanese '地獄(jigoku)'+English 'hell'
FineNd,"Finish, ending",French'fin'+English 'end'
yu-Range,Fruit,English 'orange'? + Japanese
GE-mon,Gate,English 'gate'+Japanese '門(mon)'
blasTOac,Blasphemous,English 'Blasphemous'+Japanese '冒涜(bōtoku)'
mu·Yon,Front; the other side; over there; the other party; from now on,Japanese '向こう(mukō)'+English 'yon'
zanfession,Confession,Japanese '懺悔(zange)'+English 'confession'
pray·lee,Pray,English 'pray'
sinruits,Reality,English 'sin'+'fruits'? 罪惡的果实
to-Bi,The worst,English 'to be'? Or expressing'Future'
Taven,Heaven,Japanese '天國(tengoku)'+English 'heaven'
Hir,Flying(creature),Germanic languages'hibin-'? Meant'Sky'
Tei-Tance,Resistance,Japanese '抵抗(teikō)'+English 'resistance'
WiD,World,Abbreviated from English 'world'
PaiTum,Pain,English 'pain'+Japanese '痛み(itami)'
MeMe,Meaning; motivation; value,English 'meaning'+Japanese '意味(imi)'
FuWana,Flower,English 'flower'+Japanese '花(hana)'
fOre,"Accurate, reliable",Abbreviated from English 'for sure'
KetZen,Ending,Japanese '結末(ketsumatsu)'
AccUhEarts,"Accuse, expose",
KolSu,Sound,Japanese '聲(koe)'+日式English 'noise'
DaRk rai,Dark,English 'dark'+Japanese '暗い(kurai)'
Sen-choose,Optional,Japanese '選択肢(sentakushi)'+English 'choose'
SurC,Survive,English 'survive'
Kei-P,Continue,Japanese '継続(keizoku)'
Co-Jundic,Contradiction,English 'contradiction'+Japanese '矛盾(mujun)'
ULieSo,Lie,Japanese '噓(uso)'中插入English 'lie'
Memoid,"Memory, remember",English 'memory'+Japanese '思い出(omoide)'
Per·SemOn,juggling; making a fool of oneself; embarrassing oneself in public,English 'performance'+Japanese '見世物(misemono)'
mayCtION,"Rang, roar",Japanese '鳴動(meidō)'
sAiMoku,Silence,English 'silence'+Japanese '沈黙(chinmoku)'
E-gOtable,Feelings,Japanese '居心地(igokochi)'+'table'?
a-Wet,"Wet, effort",Japanese '汗(ase)'+English 'wet'
AyAmis,"Failure, mistake",Japanese '過ち(ayamachi)'+English 'mistake'
LyuzUn,"Reason, excuse",Japanese '理由(riyū)'+English 'reason'
JokeDan,Joke,English 'joke'+Japanese '冗談(jōdan)'
We-Ho,Way,English 'way'+Japanese '方法(hōhō)'
showence,Evidence; Prove,Japanese '証拠 (shōko)'+English 'evidence'
KeyGa,Key,English 'key'+Japanese '鍵(kagi)'
FayO,Face,English 'face'+Japanese '顔(kao)'
CalmSey,Calm,English 'calm'+Japanese '冷静(reisei)'
ShiFey,Fail,Japanese '失敗(shippai)'+English 'fail'
Zelln,All,Japanese '全員(zennin)'+English 'all'
Coword,Word,Japanese '言葉(kotoba)'+English 'word'
Kuth,Mouth,Japanese '口(kuchi)'+English 'mouth'
ConWa,Conversation,English 'conversation'+Japanese '会話(kaiwa)'
hA-k,Talk,Japanese '話(hanashi)'+English 'talk'
KuwPace,Space,Japanese '空間(kūkan)'+English 'space'
riNjity,Reality,English 'reality'+Japanese '現実(genjitsu)'
Commity,Common; probably,English 'common'+Japanese '大抵(taitei)'
kOht,Heart,Japanese '心(kokoro)'+English 'heart'
SeNaji,Same,English 'same'+Japanese '同じ(onaji)'
nAddY,Buddy,Japanese '仲間(nakama)'+English 'buddy'
Trench,Friend,Japanese '友達(tomodachi)'+English 'friend'
rEcanRey,Relation,English 'relation'+Japanese '関係(kankei)'
cUrOi,Curse,English 'curse'+Japanese '呪い(noroi)'
sHo-pulse,Impulse,Japanese '衝動(shōdō)'+English 'impulse'
cLowKe,Clown,English 'clown'+Japanese '道化(dōke)'
CaNoSiri,"Loud noises, shouting",Japanese '罵り(nonoshiri)'
gAMatience,Patience,Japanese '我慢(gaman)'+English 'patience'
LiGh rai,Light,English 'light'+'ray'
eMoJoh,Emotion,English 'emotion'+Japanese '感情(kanjō)'
KaRaDy,"Body, health",Japanese '体(karada)'+English 'body'
kAn-deN,Director,Japanese '管理者(kanrisha)'+English 'director'
TadACt,Correct,Japanese '正しさ(tadashisa)'+English 'fact' or 'correct'
tEnEKy,"Enemy, obstacle",Japanese '敵(teki)'+English 'enemy'
SaLook,"Status; Shape, pose",Japanese '様(sama)'+English 'look'
MokpOSe,Purpose,Japanese '目的(mokuteki)'+English 'purpose'
sAgAin,Again,Japanese '再度(saido)'+English 'again'
son',Thousand,Japanese '千(sen)'+English 'thousand'
nEYar,Year,Japanese '年(nen)'+English 'year'
LiE,Love,English 'lie'
hAkseCution,Persecution,Japanese '迫害(hakugai)'+English 'persecution'
GoMi,God,English 'GOD'+Japanese '神(kami)'。讀音同Japanese 'ゴミ-垃圾'
kYoNAihim,Nothingness,Japanese '虚無(kyomu)'+'ない(nai)'+Latin'nihil'
neYO,"Required, need, must, necessary",English 'necessary'+Japanese '必要(hitsuyō)'
UnneYO,Do not want/need,Negative prefix'un-'+'neYO'
oBChak,Obsession,English 'obsession'+Japanese '執着(shūchaku)'
AbiRyoku,Ability,English 'ability'+Japanese '能力(nōryoku)'
Reka,Red,English 'red'+Japanese '赤(aka)'
Blo,Blue,English 'blue'+Japanese '青(ao)'
Ro-Coh,Roar,English 'Roar'+Japanese '咆哮(hōkō)'
conf-Soy,Conflict,English 'conflict'+Japanese '争い(arasoi)'
wachi,One,English 'one'+Japanese '一(ichi)'
tuni,Two,English 'two'+Japanese '二(ni)'
san,Three,Japanese '三(san)'
foshi,Four,English 'four'+Japanese '四(shi)'
fago,Five,English 'five'+Japanese '五(go)'
sik,Six,English 'six'+Japanese '六(roku)'
naven,Seven,Japanese '七(nana)'+English 'seven'
echi,Eight,English 'eight'+Japanese '八(hachi)'
nakyu,Nine,English 'nine'+Japanese '九(kyū)'
tone,Ten,Japanese '十(tō)'+English 'ten'
tone wachi,Eleven,
tone tuni,Twelve,
tone thn,Thirteen,'tone'+English 'thirteen'
haku,Hundred,Japanese '百(hyaku)'
hAte,Hand,English 'hand'+Japanese '手(te)'
kiNbOO,Taboo,Japanese '禁忌(kinki)'+English 'taboo'
yOuLugiVe,Forgive,Japanese '許し(yurushi)'+English 'forgive'
dEstiMay,Destiny,English 'destiny'+Japanese '運命(unmei)'
imJune,Impure,English 'impure'+Japanese '不純(fujun)'
nOzuki,Notice,English 'notice'+Japanese '気付き(kizuki)'
Doubg,Doubt,English 'doubt'+Japanese '疑問(gimon)'
iNiFicAnce,Significance,Japanese '意義(igi)'+English 'significance'
Alte,All,English 'all'+Japanese '全て(subete)'
mOurce,Source,Japanese '元(moto)'+English 'source'
sAnAnd,Sand,English 'sand'+Japanese '砂(suna)'
weRer,Welcome,English 'welcome'+Japanese '迎え(mukae)'
Tarip,Trip,Japanese '旅(tabi)'+English 'trip'
hEayou,Heal or religion,English 'heal'+Japanese '治癒(chiyu)'、'信仰(shinkō)'
Nii,"Not, incorrect, negative",
DaRk rai,Dark,English 'dark'+Japanese '暗い(kurai)'
Sha-Rui,Bright,English 'shine'+Japanese '明るい(akarui)'
SuZai,"Smelly, suspicious",English 'smelly'+Japanese '臭い(kusai)'
Cocary,Scary,Japanese '恐い(kowai)'+English 'scary'
kA-ad,Sad,Japanese '悲しい(kanashii)'+English 'sad'
So-meRRy,"'I am sorry', or 'Please forige me'",English 'sorry'+Japanese 'ごめんなさい(gomennasai)'
fAnoSy,Happy,English 'fan'+Japanese '楽しい (tanoshii)'
Ligh-Luw,"Light, lightly; unimportant",English 'light'+Japanese '軽い(karui)'
nAng,Long,Japanese '長い(nagai)'+English 'long'
ShoJikA,Short,English 'short'+Japanese '短い(mijikai)'
Baru,Bad,English 'bad'+Japanese '悪い(warui)'
Pen·Sii,Pain,English 'pain'+Japanese '苦しい(kurushii)'
hArLie,Hard,English 'hard'+Japanese '辛い(tsurai)'
Figeh`Sii,Fierce,English 'fierce'+Japanese '激しい(hageshii)'
HiLible,Cruel; terrible; serious,Japanese '酷い(hidoi)'+English 'terrible'
ComChiYoi,Comfortable,English 'comfortable'+Japanese '心地よい(kokochiyoi)'
wAsHe,Want; hope,English 'want'+Japanese '欲しい(hoshii)'
emBasy,Embarrassing,English 'embarrassed'+Japanese '恥ずかしい(hazukashii)'
QuYakully,"Fast, early",English 'quickly'+Japanese '早い(hayai)'
Tsu-dUll,Bording,Japanese 'つまらない(tsumaranai)'+English 'dull'
nOi-sAi,"Noisy, annoying",English 'Noisy'+Japanese 'うるさい(urusai)'
iTohrable,"Pitiful, adorable",Japanese '愛おしい(itooshii)'+English 'adorable'
IraPiss,"Irritability, anxiety",Japanese '苛立つ(iradatsu)'+'piss'
beAukShi,Beautiful,English 'beautiful'+Japanese '美しい(utsukushii)'
YowEAk,Weak,Japanese '弱い(yowai)'+English 'weak'
tSuYoNg,Strong,Japanese '強い(tsuyoi)'+English 'strong'
aLFish,Showing weakness; maintaining relationships through dependence,Japanese '甘え(amae)'+English 'selfish'
hAquEi,Admiration; hate,English 'hate'+Japanese '憎い(nikui)'
Was·nAi,Overwhelmed with fear; excessively good; wasteful,English 'waste'+Japanese 'もったいない(mottainai)'
CraeyTA',Broken; damaged,English 'crack'+Japanese '壊れた(kowareta)'
madRazy,Crazy; Crazed,English 'mad'+'crazy'
FooKah,Foolish,English 'fool'+Japanese '愚かな(orokana)'
oCcurreLe,Occur,English 'occur'
Ya-Rame,Burning,Japanese '焼ける(yakeru)'+English 'flame'
pAciKa',Calm,English 'pacific'+Japanese '静か(shizuka)'
Su-lime,Sublime,Japanese '崇高(sūkō)'+English 'sublime'
gDie,Great,English 'great'+Japanese '偉大(idai)'
koNSony,So,Japanese 'こんなに(konnani)'+English 'so'
fAnSy,Fantasy,
LEA,Come on; indicating persuasion or urging,
namuNa,Cruel; tragic,Japanese '無惨(muzan)'+English 'nasty'?
Was·Da,Waste; futile,English 'waste'+Japanese '無駄(muda)'
Su·Ready,Already,Japanese '既に(sudeni)'+English 'already'
Meh·BeRac,Maybe,English 'maybe'+Japanese '恐らく(osoraku)'
deFuTai,Definitely,English 'definitely'+Japanese '絶対(zettai)'
gu-n,Now,Japanese 'すぐ(sugu)'+English 'now'?
Sonikah,For some unknown reason; expressing a question/rhetorical question,Japanese '何か(nanika)'
eATah·Guy,Each other,English 'each other'+Japanese 'お互いに(otagai)'
Litto,"Exactly; just like; exact(time), consistent",Japanese 'ちょうど(chōdo)'
NAi,Why,English 'why'+Japanese '何故(naze)'
Ja·Da,Just,English 'just'+Japanese 'ただ(tada)'
oNkhe,"Only, merely; indicating a limitation on degree or scope",English 'only'+Japanese 'だけ(dake)'
Mof,"If, supposing; even if...",Japanese 'もし(moshi)'+English 'if'
Soda,So;That level (of degree),
Dony-Toim,Whenever,
Dony-How,However,
Batte,Because; according to; from; through,Japanese '…によって/から(niyotte/kara)'
Matill,Still,Japanese 'まだ(mada)'+English 'still'
VariZaMa,Various,English 'various'+Japanese '様々(samazama)'
Kanather,Quite; unexpected,Japanese 'かなり(kanari)'+English 'rather'
fOrAba,If it's for...,English 'for'+Japanese 'ためならば(tamenaraba)'
nEimoNai,Neither,English 'neither'+Japanese 'どちらでもない(dochira demonai)'
itsver,Once upon a time; before; without realizing it; sooner or later,Japanese 'いつか(itsuka)'
hAnT,How;Why,English 'how'+Japanese '何と(nanto)'
yOUlowly,Slowly,Japanese 'ゆっくり(yukkuri)'+English 'slowly'
Bavellabion,Words overflowing with a curse that is unimaginable to the world and is growing ever worse,No corresponding word in Japanese
Vani·tA,Void,
GoKuu,Go,English 'go'+Japanese '行く(iku)'?
Vani·Ell,Vanish,
kee’on,Go on,
Oqun,Open,
RacDA-m,Fall,
LAikIll,Live,"(Hard to recognize in profile set(設定集), could be LAiKIll or LAiKlll)"
ReDogh',Convey,
forYulvu,Allow,
FinecloWt,Find out,
SurColl,Survive,
Know-Truw,"Know, understand",English 'know truth'
i·zana-vited,Guided; Invited,Japanese '誘う(izanau)'+English 'invited'
Za-**rk,Slur,Japanese '雑魚(zako)'+English 'fuck'?
shid,Dead,
gE-ddoS,Recovered,
