魔女語        , 含義                                          , 詞源/備註
Conjuctions   , 日語接續詞（連詞）                            ,
Iz'u          , 是；表示動作、狀態或主題                      , 原型為英語「is」
oF            , 的；表示所屬關係                              , 原型為英語「of」
N'o           , 的；含義比「oF」更寬泛                          , 日語假名「の」的羅馬音
S~ond'        , 然後；而，又，而且                            ,
Owk           , 或者；或許；否則                              ,
aSte          , 作為;...的時候;隨著                           , 英語「as」+日語「て(te)」
SiVa          , 然而，但是                                    ,
BuggAh        , 但是                                          , 可是（否定意味更強），英語「but」+日語「が(ga)」
KaRause       , 因此，所以                                    , 日語「から(kara)」+英語「because」
aZaGara       , 一邊……一邊……；儘管……仍然……                    , 日語「ながら(nagara)」
itsWA         , 到此為止                                      ,
Ca-nay        , 做不到                                        , 英語「can」+日語「ない(nai)」
Ca-nan        , 能做到                                        , 英語「can」
ShouBeK       , 應該做                                        , 英語「should」+日語「べき(beki)」
meKaMo        , 也許，可能                                    , 英語「maybe」+日語「かも(kamo)」
DiGhT         , 表推量、反問、推測、假設；定會……              , 英語「right」+日語「だろう(darou)」
Ada           , 那個                                          ,
Ado           , 這個                                          ,
Eda           , 那裡                                          ,
Edo           , 這裡                                          ,
WAirTell      , 第一人稱，我                                  ,
rAwTell       , 第二人稱，你                                  ,
ObTell        , 第三人稱，他/她/它                            ,
Eleden        , 是誰也好；無論是誰                            ,
Lai Nei       , 好像；如同···                                 ,
Bah           , 表示強調該詞前的單詞                          ,
oRei          , 表示該詞前的單詞的命令形                      , 英語「order」+日語「命令(meirei)」
LaVI          , 法(律)的惡魔                                  , 英語「law」+「Devil」
hung gement   , 判決                                          , 日語「判決(hanketsu)」+英語「judgement」
pris'jeen     , 囚犯                                          , 英語「prison」+日語「囚人(shūjin)」
LowhEll       , 牢獄，監獄                                    , 日語「牢獄(rōgoku)」+英語「hell」
Guil-me       , 罪，罪行，罪孽                                , 英語「guilty」+日語「罪(tsumi)」
senty-hungment, 裁判，審判，審理                              , 「判決」的變體
sent-ky       , 裁判，審判，解析，判斷，分辨                  , 英語「sentence」+日語「裁き(sabaki)」
horMELT       , 法槌                                          , 英語「gavel」?
Coa Tain      , 法庭                                          , 英語「court」+日語「法廷(hōtei)」
KeI·tion      , 處刑                                          , 日語「処刑(shokei)」+英語「execution」
DArime        , 斷罪                                          , 日語「断罪(danzai)」+英語「crime」
Syu Tain      , 休庭                                          , 發音近中文「休庭」
cOnzAI        , 有罪                                          , 英語「convict」+日語「断罪(danzai)」
shi-des       , 死亡                                          , 日語「死(shi)」+英語「death」
MEif          , 生命                                          , 日語「命(mei)」+英語「life」
TOK           , 男性                                          , 日語「男(otoko)」
JIO           , 女性                                          , 日語「女(jo)」
litt JIO      , 少女                                          , 英語「little」+「JIO」
ievil JIO     , 魔女                                          , 英語「evil」+「JIO」
Divil JIO     , 大魔女                                        , 英語「devil」或日語「大(dai)」+「evil JIO」
eXi'          , 存在                                          , 英語「exist」
ChiDd         , 血                                            , 日語「血(chi)」+英語「blood」
muRm          , 殺人                                          , 英語「murder」
muRdon        , 殺人犯                                        , 「murder」變體
muRmon        , 殺人魔                                        , 英語「murder」+「demon」
En-NOte       , 下場，末路；魔女的「殘骸」                      , 英語「end」+日語「成れの果て(nare no hate)」
hison'        , 人類                                          , 日語「人(hito)」+英語「person」
ieyWOO        , 現在，此刻；現代；如今                        , 表時間
To-ya-ya      , 今夜                                          , 英語「tonight」+日語「今夜(konya)」
Toim          , 時間                                          , 日語「時(toki)」+英語「time」
Jus·tom       , 瞬間                                          , 英語「just」+「Toim」
Kast          , 過去                                          , 日語「過去(kako)」+英語「past」
zanCrue       , 殘酷、殘忍(的行為)                            , 日語「残虐(zangyaku)」+英語「cruel」
merc·lee      , 慈悲                                          , 英語「mercy」
dEs·lee       , 絕望                                          , 英語「despair」
PyusenS'e     , 無垢，無汙點，純潔                            , 英語「pure」
DowGuil       , 疑惑，疑慮                                    , 英語「doubt」+日語「疑惑(giwaku)」
Say mAl       , 正常                                          , 日語「正常(seijō)」+英語「normal」
anxAn         , 不安，擔心；焦慮                              , 英語「anxious」+日語「不安(fuan)」
showroof      , 證明，證實；證據                              , 日語「証明(shōmei)」+英語「proof」
Sar-gedy      , 慘劇，慘案，悲慘事件                          , 日語「惨劇(sangeki)」+英語「tragedy」
SaiVI         , 災禍，災難                                    , 日語「災(sai)」+「VI(惡魔)」
Jiell         , 地獄                                          , 日語「地獄(jigoku)」+英語「hell」
FineNd        , 臨終，絕命之際；結束，終點                    , 法語「fin」+英語「end」
yu-Range      , 果實，水果                                    , 英語「orange」? + 日語
GE-mon        , 門，大門；出入口                              , 英語「gate」+日語「門(mon)」
blasTOac      , 冒瀆，褻瀆                                    , 英語「Blasphemous」+日語「冒涜(bōtoku)」
mu·Yon        , 正面；另一側；那邊；對方；從今以後            , 日語「向こう(mukō)」+英語「yon」
zanfession    , 懺悔                                          , 日語「懺悔(zange)」+英語「confession」
pray·lee      , 祈禱                                          , 英語「pray」
sinruits      , 真實，事實                                    , 英語「sin」+「fruits」? 罪惡的果實
to-Bi         , 最壞，最糟，最不利                            , 英語「to be」? 或表「未來」
Taven         , 天堂；樂園                                    , 日語「天國(tengoku)」+英語「heaven」
Hir           , 能夠飛行的(生物)；飛昇；超脫                  , 原始日耳曼語「hibin-」? 表「天空」
Tei-Tance     , 抵抗                                          , 日語「抵抗(teikō)」+英語「resistance」
WiD           , 世界                                          , 英語「world」的縮略
PaiTum        , 痛楚，悲痛                                    , 英語「pain」+日語「痛み(itami)」
MeMe          , 意義；動機；價值                              , 英語「meaning」+日語「意味(imi)」
FuWana        , 花朵                                          , 英語「flower」+日語「花(hana)」
fOre          , 準確；可靠                                    , 英語「for sure」的縮略
KetZen        , 結尾，終結；(最後的)結果，結局                , 日語「結末(ketsumatsu)」
AccUhEarts    , 告發，檢舉，揭發                              , 英語「accuse」的截取
KolSu         , 聲音                                          , 日語「声(koe)」+日式英語「noise」
DaRk rai      , 黑暗；昏暗的                                  , 英語「dark」+日語「暗い(kurai)」
Sen-choose    , 選擇項                                        , 日語「選択肢(sentakushi)」+英語「choose」
SurC          , 生存                                          , 英語「survive」
Kei-P         , 繼續，接續                                    , 日語「継続(keizoku)」
Co-Jundic     , 矛盾                                          , 英語「contradiction」+日語「矛盾(mujun)」
ULieSo        , 謊言                                          , 日語「噓(uso)」中插入英語「lie」
Memoid        , 記憶；回憶；紀念                              , 英語「memory」+日語「思い出(omoide)」
Per·SemOn     , 雜耍;出洋相;當眾出醜                          , 英語「performance」+日語「見世物(misemono)」
mayCtION      , 鳴動，轟隆作響                                , 日語「鳴動(meidō)」
sAiMoku       , 沉默，寂靜                                    , 英語「silence」+日語「沈黙(chinmoku)」
E-gOtable     , 心情，感覺                                    , 日語「居心地(igokochi)」+「table」?
a-Wet         , 汗；返潮；努力                                , 日語「汗(ase)」+英語「wet」
AyAmis        , 過失，罪過；錯誤，失敗                        , 日語「過ち(ayamachi)」+英語「mistake」
LyuzUn        , 理由，緣故；藉口                              , 日語「理由(riyū)」+英語「reason」
JokeDan       , 玩笑，戲言，笑話                              , 英語「joke」+日語「冗談(jōdan)」
We-Ho         , 方法；辦法                                    , 英語「way」+日語」方法(hōhō)」
showence      , 證據，證明                                    , 日語「証拠 (shōko)」+英語「evidence」
KeyGa         , 鑰匙                                          , 英語「key」+日語「鍵(kagi)」
FayO          , 面孔；表情，神色                              , 英語「face」+日語「顔(kao)」
CalmSey       , 沉著，清醒，冷靜                              , 英語「calm」+日語「冷静(reisei)」
ShiFey        , 失敗                                          , 日語「失敗(shippai)」+英語「fail」
Zelln         , 全體人員                                      , 日語「全員(zennin)」+英語「all」
Coword        , 話語，言辭                                    , 日語「言葉(kotoba)」+英語「word」
Kuth          , 口；嘴                                        , 日語「口(kuchi)」+英語「mouth」
