fiXmArge,日语读音,日语含义,简体中文翻译,繁体中文翻譯,英语翻译,英语化读音
Iz'u,アイズ,～は/～が,"是;表示动作、状态或主题","是;表示動作、狀態或主題","is / to be (indicates subject, state, action)",eye-zoo
oF,オーエフ,～の/～のものの,的;表示所属关系,的;表示所屬關係,of (indicates possession/belonging),oh-eff
N'o,エノ,～の,的;含义比oF更宽泛,的;含義比oF更寬泛,"'s / of (wider meaning than oF)",en-oh
S~ond',ソード',そして/～と,"然后;而,又,而且","然後;而,又,而且",then / and,soh-nd
Owk,オウク,もしくは/それとも/それか,或者;或许;否则,或者;或許;否則,or / maybe / else,owk
aSte,アステ,～として/～する時/～にされて,作为;...的时候;随着,作為;...的時候;隨著,as / at the time / along with,ah-steh
SiVa,シヴァ,しかし/けれど,"然而,但是","然而,但是",however / but,sih-vah
BuggAh',バッガ,だ,但是(否定意味更强),但是(否定意味更強),but (stronger negation than SiVa),bug-gah
KaRause,カラオケ,だから/～から,"因此,所以","因此,所以",therefore / because,kah-rah-o-seh
aZaGara,アザガラ,～ながら,"一边...一边...;尽管...仍然...","一邊...一邊...;儘管...仍然...","while...; even though...",ah-zah-gah-rah
itsWA,イゾワ,これで/これにて,到此为止,到此為止,that's all / up to this,ihts-wah
Ca-nay,カナイ,できない,做不到,做不到,cannot do,kah-nay
Ca-nan,カナン,できる,能做到,能做到,can do,kah-nahn
ShouBeK,シュベク,すべき/であるべき,应该做,應該做,should do,shoh-bek
meKaMo,メカモ,～かもしれない,也许;可能,也許;可能,maybe / perhaps,meh-kah-moh
DiGhT,ダイト,～だろう,"表推量、反问、推测、假设;定会……","表推量、反問、推測、假設;定會……","expressing inference, rhetorical question, speculation, assumption",deye-t
Ada,アダ,あの,那个,那個,that (over there),ah-dah
Ado,アド,この,这个,這個,this (close),ah-doh
Eda,エダ,そこ,那里,那裡,there (location),eh-dah
Edo,エド,ここ,这里,這裡,here (location),eh-doh
WAirTell,ウ:アテル,一人称,"第一人称,我","第一人稱,我",first person (I / me),wair-tel
rAwTell,ラウテル,二人称,"第二人称,你","第二人稱,你",second person (you),raw-tel
ObTell,オブテル,三人称,"第三人称,他/她/它","第三人稱,他/她/它",third person (he / she / it),ob-tel
Eleden,エルデン,誰も/誰でも/どんな人も,是谁也好;无论是谁,是誰也好;無論是誰,whoever / anyone,eh-leh-den
Lai Nei,ライニー,～のような/～のように/～のようだ/そのような,好像;如同...,好像;如同...,just like / as if,lai nei
Bah,バハ,直前の単語を強調するする,表示强调该词前的单词,表示強調該詞前的單詞,emphasis marker (emphasizes the word before),bah
oRei,オレイ,直前の単語を命令系にする,表示该词前的单词的命令形,表示該詞前的單詞的命令形,imperative marker (makes the previous word a command),oh-rei
LaVI,ラヴィ,法の悪魔,法(律)的恶魔,法(律)的惡魔,devil of the law / law's fiend,lah-vee
hung gement,ハン ジメント,判決,判决,判決,verdict / judgment,hung jeh-ment
pris'jeen,プリズジーン,囚人,囚犯,囚犯,prisoner,pris-jeen
LowhEll,ロウヘル,牢獄,"牢狱,监狱","牢獄,監獄",jail / hellish prison,low-hel
Guil-me,ギル ミ,罪,"罪,罪行,罪孽","罪,罪行,罪孽",guilt / sin / crime,gil-mee
senty-hungment,センティ ハングメント,裁判,"裁判,审判,审理","裁判,審判,審理",judgment / trial (variant of hung gement),sen-tee-hung-ment
sent-ky,セントキー,裁き,"裁判,审判,解析,判断,分辨","裁判,審判,解析,判斷,分辨","referee / trial / analysis / judgment",sent-kee
